"Hide Products","Hide Products"
"
                        Please click here to preview the product list.
                    ","
                        Please click here to preview the product list.
                    "
"
                        For applying this conditions please save the rule.
                    ","
                        For applying this conditions please save the rule.
                    "
"Products to Display","Products to Display"
"
                        Note that preview does not show products based on 'Viewed Together', 'Bought Together' and 'Same As' Conditions.
                    ","
                        Note that preview does not show products based on 'Viewed Together', 'Bought Together' and 'Same As' Conditions.
                    "
"Source Type","Source Type"
"Please enable 'Product View' report at the Configuration > General > Reports for the 'Viewed Together' data source works properly.","Please enable 'Product View' report at the Configuration > General > Reports for the 'Viewed Together' data source works properly."
"Apply ""Same As"" Condition","Apply ""Same As"" Condition"
"Display Settings","Display Settings"
"Block Title","Block Title"
"Sort by","Sort by"
"Block Layout","Block Layout"
"Display ""Add to Cart"" Button","Display ""Add to Cart"" Button"
"Max Products to Display","Max Products to Display"
"Show ""Out of Stock"" Products","Show ""Out of Stock"" Products"
"It works based on default Magento setting. Click <a target=""_blank"" href=""${$.notice_url}"">here</a> to manage it.","It works based on default Magento setting. Click <a target=""_blank"" href=""${$.notice_url}"">here</a> to manage it."
"Add New Rule","Add New Rule"
"Are you sure to delete selected rules?","Are you sure to delete selected rules?"
"Rule Type","Rule Type"
Position,Position
Views,Views
Clicks,Clicks
CTR,CTR
"Orders Made","Orders Made"
Revenue,Revenue
"Attribute Set","Attribute Set"
Visibility,Visibility
